Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2011-06-30,220.13100,180.54400,39.58700,33.84300,,33.84300,5.74400,-4.99700,0.74700,0.18500,0.56200,0.56200,0.56200,7.56100,5.74400,32.39500,32.63800,0.02000,0.02000,1.85150,0.54860,1.21510,17.98340,2.60940,2.60940,0.33930,0.25530,0.17960,13.68970,6.57430,0.11270,0.11310,0.04580,0.05090,15.39020,-0.2416,-0.3184
2011-03-31,177.58900,147.20000,30.38900,30.44100,,30.44100,-0.05200,-6.39200,-6.44400,0.21500,-6.65900,-6.65900,-6.65900,1.70400,-0.05200,32.26000,32.26000,-0.21000,-0.21000,1.37780,0.54960,1.22030,17.11200,-0.02930,-0.02930,-3.62860,-3.74970,0.14570,9.09970,9.89050,-1.34100,-1.34600,-0.54630,-0.60400,15.33180,-0.76140,-0.80570
2010-12-31,214.64400,180.66100,33.98300,31.03000,,31.03000,2.95300,-8.37200,-5.41900,-4.52400,-0.89500,-0.89500,-0.89500,4.78800,2.95300,32.06000,32.32200,-0.03000,-0.03000,1.33620,0.54780,1.21160,15.83230,1.37580,1.37580,-2.52460,-0.41700,0.17520,10.30210,8.73610,-0.17900,-0.17980,-0.07310,-0.08090,15.55730,-0.1745,-0.2144
2010-09-30,233.80300,191.24200,42.56100,35.30200,,35.30200,7.25900,-6.52800,0.73100,-0.48800,1.21900,1.21900,1.21900,9.37000,7.25900,32.09500,32.29700,0.04000,0.04000,1.49880,0.54810,1.21290,18.20380,3.10480,3.10480,0.31270,0.52140,0.18850,11.25030,7.99980,0.24410,0.24540,0.09830,0.11030,15.54880,-0.641,-0.6762
2010-06-30,291.40500,238.50900,52.89600,38.33500,,38.33500,14.56100,-10.17000,4.39100,0.22500,4.16600,4.16600,4.16600,16.64200,14.56100,32.07700,32.28700,0.13000,0.13000,1.58190,0.54960,1.22010,18.15210,4.99680,4.99680,1.50680,1.42960,0.23210,7.81620,11.51450,0.83950,0.84480,0.33180,0.37810,15.46840,0.458,0.3989
2010-03-31,201.80400,163.54800,38.25600,31.91500,,31.91500,6.34100,-3.56000,2.78100,0.12100,2.66000,2.66000,2.66000,8.28800,6.34100,31.94000,32.19700,0.08000,0.08000,2.16960,0.55220,1.23310,18.95700,3.14220,3.14220,1.37810,1.31810,0.16270,8.59250,10.47420,0.54210,0.54590,0.21440,0.24280,15.30210,1.36460,1.30490
2009-12-31,285.82000,282.76800,3.05200,40.60600,,40.60600,-37.55400,-9.44300,-46.99700,-90.28300,43.28600,43.28600,43.28600,-35.25800,-37.55400,31.35000,31.35000,1.41000,1.41000,2.80130,0.55480,1.24630,1.06780,-13.13900,-13.13900,-16.44290,15.14450,0.23000,2.47590,36.35110,8.91710,8.98360,3.48330,3.96960,15.25530,0.908,0.8608
2009-09-30,231.81600,208.91400,22.90200,32.65100,,32.65100,-9.74900,-7.89000,-17.63900,0.14600,-17.78500,-17.78500,-17.78500,-7.74600,-9.74900,31.71800,31.71800,-0.56000,-0.56000,3.27900,0.57860,1.37320,9.87940,-4.20550,-4.20550,-7.60910,-7.67200,0.19590,7.94220,11.33190,-4.03690,-4.07340,-1.50260,-1.70110,13.86230,-0.7763,-0.7925
2009-06-30,221.53900,260.76400,-39.22500,31.87300,,31.87300,-71.09800,-0.79600,-71.89400,1.70800,-73.60200,-73.60200,-73.60200,-68.97900,-71.09800,31.05500,31.05500,-2.37000,-2.37000,3.30820,0.57100,1.33100,-17.70570,-32.09280,-32.09280,-32.45210,-33.22300,0.18450,7.90930,11.37900,-16.19420,-16.35070,-6.13020,-6.94740,14.35190,1.2405,1.2074
2009-03-31,231.13800,213.81600,17.32200,33.01400,,33.01400,-15.69200,-2.57700,-18.26900,0.08600,-18.35500,-18.35500,-18.35500,-13.26700,-15.69200,30.80800,30.80800,-0.60000,-0.60000,3.62130,0.54790,1.21200,7.49420,-6.78900,-6.78900,-7.90390,-7.94110,0.18270,7.48600,12.02240,-3.57420,-3.60760,-1.45050,-1.61580,16.57860,4.49940,4.48560
