Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-03-31,5082.04000,4378.21200,703.82810,477.90300,,526.08700,177.74070,-28.22000,149.52000,42.32800,107.19200,107.19200,107.12000,224.10770,177.74070,99.94800,101.39900,1.07000,1.06000,1.74230,0.33650,0.51100,13.84930,3.49740,3.49740,2.94210,2.10780,0.46060,2.09040,1.04860,85.82610,2.53650,6.26290,0.97160,1.68310,42.42710,1.22330,0.89940
2013-12-31,6153.36000,5365.73400,787.62650,497.43890,,550.28900,237.33740,-25.33500,212.00200,77.08300,134.91900,134.91900,134.83100,284.61440,237.33690,102.55900,103.69900,1.32000,1.32000,1.61940,0.34720,0.53770,12.79990,3.85700,3.85700,3.44530,2.19120,0.51020,2.47580,1.06650,84.38940,3.22400,7.84660,1.11860,2.10450,41.87510,2.0283,1.7489
2013-09-30,5048.21100,4376.55100,671.66020,453.92000,,508.92400,162.73630,-25.28300,137.45300,40.49000,96.96300,96.96300,96.77900,206.63730,162.73630,100.75000,101.66900,0.96000,0.95000,1.78370,0.32180,0.48220,13.30490,3.22360,3.22360,2.72280,1.91710,0.48700,2.02060,1.10500,81.44860,2.40400,5.08320,0.93540,1.63040,40.04650,0.8324,0.5066
2013-06-30,5306.08500,4616.51300,689.57180,470.87400,,533.69700,155.87450,-28.83900,127.03600,37.00000,90.03600,90.03600,89.93500,195.27250,155.87450,103.22500,104.02400,0.87000,0.86000,1.74560,0.35150,0.54850,12.99590,2.93770,2.93770,2.39420,1.69490,0.50500,2.19340,1.12330,80.12010,2.35440,5.22020,0.85690,1.52680,38.21130,3.1493,2.8825
2013-03-31,4849.62900,4207.55700,642.07180,451.40500,,504.52000,137.55220,-31.82400,105.72800,27.77000,77.95800,77.95800,77.87500,175.04030,137.55220,105.88900,107.82400,0.74000,0.72000,1.86020,0.36060,0.57350,13.23960,2.83630,2.83630,2.18010,1.60580,0.46810,2.03610,1.07930,83.38940,1.99450,4.32990,0.75250,1.27520,37.20920,-1.66390,-1.91200
2012-12-31,5402.70600,4695.86100,706.84420,480.10310,,442.67400,264.17040,-19.88700,244.28100,69.46000,174.82100,174.82100,174.70400,304.30140,264.17040,109.24000,111.07700,1.63000,1.60000,1.57130,0.28480,0.48950,13.08320,4.88960,4.88960,4.52150,3.23360,0.50090,2.28760,1.09720,82.02390,4.38440,9.39080,1.62090,3.13590,37.61630,1.6431,1.3204
2012-09-30,4962.33100,4299.61200,662.71920,456.52100,,498.90200,163.81740,-21.80200,142.01500,38.32300,103.69200,103.69200,103.61700,202.35140,163.81740,108.30100,109.89400,0.96000,0.94000,1.56360,0.29160,0.51150,13.35500,3.30120,3.30120,2.86190,2.08810,0.49250,2.06770,1.14420,78.65420,2.73210,6.22790,1.02920,1.93550,35.57610,1.6585,1.407
2012-06-30,5150.56300,4463.41900,687.14400,457.07300,,498.45600,188.68850,-27.12700,161.56200,47.08100,114.48100,114.48100,114.38300,223.61450,188.68850,110.43300,112.03100,1.04000,1.02000,1.72180,0.34460,0.53310,13.34110,3.66350,3.66350,3.13680,2.22080,0.51330,2.15130,1.17010,76.91410,3.07440,6.82030,1.14080,2.01490,34.22950,0.5812,0.34
2012-03-31,4889.52900,4208.95000,680.57860,455.83700,,493.13000,187.44870,-24.94800,162.50100,48.77800,113.72300,113.72300,113.62800,223.75370,187.44870,112.00200,114.07700,1.01000,1.00000,1.88710,0.37140,0.59890,13.91910,3.83370,3.83370,3.32340,2.32390,0.48230,2.09250,1.16210,77.44880,2.98580,6.41470,1.12170,1.87680,34.14530,2.19440,1.99940
2011-12-31,5440.47200,4695.66300,744.80860,469.75710,,512.62500,232.18360,-28.06900,204.11410,29.98400,174.13000,174.13000,174.08800,269.86260,232.18410,114.02500,115.93200,1.55000,1.53000,1.77440,0.34410,0.53370,13.69020,4.26770,4.26770,3.75180,3.19990,0.55350,2.39100,1.21380,74.14630,4.73790,9.62490,1.77160,3.10780,32.86940,1.2656,1.0507
