Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-07-31,86.82000,58.07300,28.74700,24.01200,24.01200,4.73500,-2.64500,2.09000,0.84300,1.24700,1.24700,-64.15600,7.26800,4.73500,18.80400,18.80400,-3.41000,-3.41000,2.34140,0.41920,0.74310,33.11100,5.45380,5.45380,2.40730,-73.89540,0.56310,0.91270,,,2.66650,2.66650,0.80870,1.54880,0.86650,0.3492,0.0244
2012-04-30,71.82900,48.80900,23.02000,24.98500,24.98500,-1.96500,0.03700,-1.92800,-0.77100,-1.15700,-1.15700,-5.32500,0.14900,-1.96500,16.42100,16.42100,-0.32000,-0.32000,2.46090,0.00360,0.00360,32.04830,-2.73570,-2.73570,-2.68420,-7.41340,0.53630,0.94720,9.70660,9.27200,0.94590,-1.66380,-0.86380,-1.65790,3.80790,-1.44320,-1.73550
2012-01-31,125.82500,73.94000,51.88500,31.77000,31.77000,20.11500,0.01800,20.16000,7.73000,12.43000,12.42700,12.42700,22.18300,20.11500,15.90400,15.90400,0.50000,0.50000,1.84710,0.00400,0.00400,41.24780,15.98650,15.98650,16.02230,9.87640,0.93530,1.90620,,,-9.57700,20.01260,9.23760,19.93230,3.82150,2.6114,2.4144
2011-10-31,61.89500,43.52200,18.37300,17.63400,17.63400,0.73900,-0.00600,0.73300,0.29300,0.44000,0.44000,-3.52400,2.65600,0.73900,15.88500,15.88500,-0.22000,-0.22000,1.68260,0.00520,0.00520,29.68410,1.19400,1.19400,1.18430,-5.69350,0.55820,0.75590,,,-0.30600,0.91530,0.39680,0.91060,2.98870,0.1471,-0.2397
2011-07-31,61.96600,41.95500,20.01100,16.32300,16.32300,3.68800,-0.00500,3.68300,1.47100,2.21200,2.21200,-1.65800,5.35200,3.68800,15.85400,15.85400,-0.10000,-0.10000,1.89520,0.00530,0.00530,32.29350,5.95170,5.95170,5.94360,-2.67570,0.64330,0.97540,,,-1.52950,4.68360,2.29650,4.65890,2.93640,0.0771,-0.2157
2011-04-30,47.42700,32.84000,14.58700,12.92600,12.92600,1.66100,0.00300,1.66400,0.66500,0.99900,0.99900,-2.87000,3.10200,1.66100,15.80000,15.80000,-0.18000,-0.18000,1.89480,0.00560,0.00560,30.75670,3.50220,3.50220,3.50860,-6.05140,0.52660,0.85400,600.34170,0.14990,-0.67830,2.24140,1.10930,2.22890,2.77110,0.10010,-0.18960
2011-01-31,81.73000,,81.73000,,,81.73000,,81.73000,,81.73000,9.56800,9.56800,81.73000,81.73000,,,,0.00000,2.52280,0.00580,0.00580,100.00000,100.00000,100.00000,100.00000,11.70680,1.06730,,4086.50000,0.02200,-6.43010,22.22020,12.49410,22.09700,2.67660,0,0
2010-10-31,41.45900,,41.45900,,,41.45900,,41.45900,,41.45900,-3.67800,-3.67800,41.45900,41.45900,,,,0.00000,,,,100.00000,100.00000,100.00000,100.00000,-8.87140,,,,,,,,,,0,0
2010-07-31,42.37500,,42.37500,,,42.37500,,42.37500,,42.37500,1.00400,1.00400,42.37500,42.37500,,,,0.00000,,,,100.00000,100.00000,100.00000,100.00000,2.36930,,,,,,,,,,0,0
2010-04-30,31.62500,,31.62500,,,31.62500,,31.62500,,31.62500,0.12900,0.12900,31.62500,31.62500,,,,0.00000,,,,100.00000,100.00000,100.00000,100.00000,0.40790,,,,,,,,,,0.00000,
2010-01-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
