Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-12-31,9.99000,0.20900,9.78100,11.24200,,12.63400,-2.85300,1.07200,-1.78100,-0.31000,-1.47100,-1.47100,-1.47100,-1.46100,-2.85300,1.38100,1.38100,-1.07000,-1.07000,2.78540,0.18500,0.22790,97.90790,-28.55860,-28.55860,-17.82780,-14.72470,0.04020,4.18000,1.70970,52.63960,-1.05910,-1.23860,-0.59130,-0.86310,100.57280,-0.94930,-1.08470
2016-09-30,9.01700,0.23300,8.78400,10.68300,,12.10400,-3.32000,0.94800,-2.37200,-1.41000,-0.96200,-0.96200,-0.96200,-1.89700,-3.32000,1.38100,1.38100,-0.70000,-0.70000,2.84430,0.20120,0.25270,97.41600,-36.81940,-36.81940,-26.30590,-10.66870,0.04000,5.68290,1.61100,55.86450,-0.76750,-0.92510,-0.42670,-0.61310,90.77920,0.8537,0.7748
2016-06-30,10.33800,0.24300,10.09500,10.43200,,11.87700,-1.78200,1.15900,-0.62300,-0.28500,-0.33800,-0.33800,-0.33800,-0.33900,-1.78200,1.38100,1.38100,-0.25000,-0.25000,2.90470,0.20410,0.25740,97.64950,-17.23740,-17.23740,-6.02630,-3.26950,0.04700,5.17020,1.61580,55.69940,-0.27440,-0.33610,-0.15370,-0.21840,89.18610,0.8704,0.84
2016-03-31,11.44200,0.21900,11.22300,10.37100,,11.79900,-0.57600,0.72800,0.15200,-0.05500,0.20700,0.20700,0.20700,0.85200,-0.57600,1.38100,1.38100,0.15000,0.15000,2.89860,0.20220,0.25440,98.08600,-5.03410,-5.03410,1.32840,1.80910,0.05150,5.76320,1.76710,50.93080,0.16600,0.20520,0.09330,0.13240,90.31570,0.3316,0.2686
2015-12-31,10.81500,0.21700,10.59800,10.14500,,11.56000,-0.96200,0.82700,-0.13500,-0.18500,0.05000,0.05000,0.05000,0.45300,-0.96200,1.38100,1.38100,0.04000,0.04000,2.85050,0.19040,0.23590,97.99350,-8.89510,-8.89510,-1.24830,0.46230,0.04530,4.34000,1.82750,49.24830,0.03720,0.04570,0.02100,0.03010,97.44890,-1.16940,-3.73350
2015-09-30,10.76900,0.29000,10.47900,10.08100,,11.51900,-1.04000,0.52000,-0.52000,-0.36000,-0.16000,-0.16000,-0.16000,0.40000,-1.04000,1.38070,1.38070,-0.11000,-0.11000,2.86620,0.18660,0.22930,97.30710,-9.65740,-9.65740,-4.82870,-1.48570,0.04720,6.04170,1.67270,53.80440,-0.12440,-0.15650,-0.07010,-0.10120,93.12090,2.337,2.2413
2015-06-30,10.49400,0.33500,10.15900,9.93800,,11.30400,-1.14500,1.11800,-0.02700,-0.06000,0.03300,0.03300,0.03300,0.21900,-1.14500,1.38100,1.38100,0.02000,0.02000,2.84460,0.17590,0.21340,96.80770,-10.91100,-10.91100,-0.25730,0.31450,0.04310,5.31750,1.30100,69.17670,0.02390,0.02980,0.01360,0.01970,100.05360,0.5539,0.5199
2015-03-31,11.39200,0.25800,11.13400,10.73300,,12.10000,-0.96600,0.79500,-0.17100,-0.67500,0.50400,0.50400,0.50400,0.40100,-0.96600,1.38100,1.38100,0.37000,0.37000,2.84620,0.18170,0.22200,97.73530,-8.47960,-8.47960,-1.50110,4.42420,0.04860,6.78950,1.53300,58.70700,0.37930,0.48380,0.21480,0.31040,96.20850,2.5431,2.3136
2014-12-31,11.32300,0.34200,10.98100,9.98200,,11.34200,-0.36100,0.76900,0.40800,-0.02500,0.43300,0.43300,0.43300,0.99900,-0.36100,1.38100,1.38100,0.31000,0.31000,2.84730,0.18130,0.22150,96.97960,-3.18820,-3.18820,3.60330,3.82410,0.04820,6.21820,1.32810,67.76830,0.32520,0.41940,0.18440,0.26620,96.42430,0.18250,0.13250
2014-09-30,11.49800,0.27300,11.22500,9.98200,,11.36400,-0.13900,0.84400,0.70500,-0.47500,1.18000,1.18000,1.18000,1.24500,-0.13900,1.38100,1.38100,0.85000,0.85000,2.73960,0.17780,0.21630,97.62570,-1.20890,-1.20890,6.13150,10.26270,0.04710,5.35290,1.08300,83.10400,0.86530,1.12140,0.48390,0.71140,98.74800,0.5011,0.4779
