Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-09-30,990.00000,427.00000,563.00000,261.00000,275.00000,539.00000,24.00000,-6.00000,18.00000,15.00000,3.00000,3.00000,3.00000,80.00000,24.00000,313.00000,322.00000,0.01000,0.01000,1.47970,0.18120,0.22130,56.86870,2.42420,2.42420,1.81820,0.30300,0.16420,6.37310,1.19420,75.36360,0.11240,0.37310,0.04970,0.09200,8.55770,0.5683,0.5031
2014-06-30,1214.00000,367.00000,847.00000,265.00000,218.00000,485.00000,362.00000,-8.00000,354.00000,19.00000,335.00000,335.00000,335.00000,418.00000,362.00000,313.00000,322.00000,1.07000,1.04000,1.64050,0.17760,0.21600,69.76940,29.81880,29.81880,29.15980,27.59470,0.22170,9.91890,5.54340,16.23560,12.34800,40.50790,6.11760,10.15460,8.66770,0.01240,-0.07140
2014-03-31,1123.00000,223.00000,900.00000,289.00000,260.00000,556.00000,344.00000,-7.00000,337.00000,-30.00000,367.00000,367.00000,367.00000,401.00000,344.00000,308.00000,316.00000,1.19000,1.21000,1.31300,0.19320,0.23950,80.14250,30.63220,30.63220,30.00890,32.68030,0.19650,3.98210,3.43430,26.20660,15.15280,70.30650,6.42060,12.22520,7.78780,0.8584,0.8135
2013-12-31,808.00000,517.00000,291.00000,275.00000,305.00000,583.00000,-292.00000,-6.00000,-298.00000,10.00000,-308.00000,-308.00000,-308.00000,-234.00000,-292.00000,309.00000,309.00000,-1.00000,-1.00000,1.09850,0.22300,0.28690,36.01490,-36.13860,-36.13860,-36.88120,-38.11880,0.14500,9.40000,1.53610,58.58910,-15.36930,-371.08430,-5.52660,-11.94260,6.48540,2.2195,2.1295
2013-09-30,695.00000,413.00000,282.00000,283.00000,293.00000,534.00000,-252.00000,-8.00000,-260.00000,13.00000,-273.00000,-273.00000,-273.00000,-196.00000,-252.00000,308.00000,308.00000,-0.89000,-0.89000,1.26420,0.19960,0.24930,40.57550,-36.25900,-36.25900,-37.41010,-39.28060,0.13800,7.12070,1.17000,76.92090,-11.94230,-79.36050,-5.42100,-9.55880,7.39810,-0.0298,-0.109
2013-06-30,949.00000,194.00000,755.00000,278.00000,232.00000,522.00000,233.00000,-5.00000,228.00000,6.00000,222.00000,222.00000,222.00000,289.00000,233.00000,304.00000,312.00000,0.73000,0.71000,1.53670,0.18460,0.22630,79.55740,24.55220,24.55220,24.02530,23.39310,0.20610,4.73170,7.90830,11.38040,8.90850,41.41790,4.82080,7.26440,8.14380,-0.79490,-0.88780
2013-03-31,1209.00000,309.00000,900.00000,287.00000,294.00000,591.00000,309.00000,21.00000,330.00000,7.00000,323.00000,323.00000,323.00000,395.00000,309.00000,310.00000,313.00000,1.05000,1.04000,1.21280,0.19780,0.24660,74.44170,25.55830,25.55830,27.29530,26.71630,0.23850,7.35710,3.87500,23.22580,14.24790,110.23890,6.37080,11.42960,7.50660,0.7358,0.6636
2012-12-31,922.00000,429.00000,493.00000,278.00000,290.00000,532.00000,-39.00000,6.00000,-33.00000,12.00000,-45.00000,-45.00000,-45.00000,27.00000,-39.00000,304.00000,304.00000,-0.15000,-0.15000,1.03870,0.22050,0.28290,53.47070,-4.22990,-4.22990,-3.57920,-4.88070,0.18300,7.27120,2.41360,37.28850,-2.29830,64.28570,-0.89300,-1.79140,6.50500,1.1601,1.0709
2012-09-30,711.00000,445.00000,266.00000,306.00000,319.00000,630.00000,-364.00000,-4.00000,-368.00000,13.00000,-381.00000,-381.00000,-381.00000,-308.00000,-364.00000,316.00000,316.00000,-1.21000,-1.21000,1.13980,0.20310,0.25490,37.41210,-51.19550,-51.19550,-51.75810,-53.58650,0.13700,6.26760,1.10580,81.39240,-17.68800,-392.78350,-7.33960,-14.09550,6.90380,-0.0983,-0.1786
2012-06-30,955.00000,205.00000,750.00000,282.00000,239.00000,535.00000,215.00000,-5.00000,210.00000,9.00000,201.00000,201.00000,201.00000,271.00000,215.00000,317.00000,320.00000,0.63000,0.63000,1.46030,0.17570,0.21320,78.53400,22.51310,22.51310,21.98950,21.04710,0.19790,3.41670,8.60360,10.46070,7.87620,41.10430,4.16580,6.49220,8.02520,-0.76250,-0.85940
