Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2013-03-31,50.43500,5.11800,45.31700,5.43300,25.02400,-0.04700,33.86200,11.45500,-0.36600,11.08900,4.01400,7.07500,7.07500,,7.07500,14.87400,11.45500,57.52900,61.09700,0.12000,0.12000,0.76140,0.14980,0.17620,89.85230,22.71240,22.71240,21.98670,14.02800,0.14380,1.92270,46.80860,3.66640,-10.61550,2.01670,3.11720,3.22280,0.35920,0.31030
2012-12-31,52.73800,5.13200,47.60600,5.97500,23.64200,,32.99100,14.61500,-0.43400,14.18100,5.16800,9.01300,9.01300,,9.01300,17.22800,14.61500,61.19200,64.60400,0.16000,0.15000,0.80190,0.19440,0.24130,90.26890,27.71250,27.71250,26.88950,17.09010,0.14890,1.81670,49.54110,4.72780,-12.00760,2.54440,3.80880,3.23350,0.1411,0.1135
2012-09-30,48.03800,3.60300,44.43500,3.87400,22.93000,,29.72800,14.70700,-0.31100,14.39600,3.39500,11.00100,11.00100,,11.00100,17.69200,14.70700,59.90700,63.14300,0.18000,0.17000,0.90330,0.18060,0.22050,92.49970,30.61530,30.61530,29.96790,22.90060,0.14360,2.19760,40.95320,5.77500,-19.51850,3.28880,4.73170,3.17540,0.1869,0.1694
2012-06-30,48.45500,3.82500,44.63000,3.21400,22.76700,,28.95100,15.67900,-1.00800,14.67100,5.21700,9.45400,9.45400,,9.45400,19.50100,15.67900,62.64000,66.00400,0.15000,0.14000,0.91240,0.07040,0.07580,92.10610,32.35790,32.35790,30.27760,19.51090,0.15230,2.81390,31.98430,4.77600,-28.80560,2.97170,4.43960,3.15720,0.1713,0.1462
2012-03-31,46.13200,3.12700,43.00500,3.16200,22.85700,,29.11000,13.89500,-0.30500,13.59000,4.97100,8.61900,8.61900,,8.61900,17.10100,13.89500,64.11800,67.37100,0.13000,0.13000,0.98860,0.04550,0.06680,93.22160,30.12010,30.12010,29.45890,18.68330,0.13830,2.45640,36.63830,4.11060,-37.68860,2.58430,3.92350,3.24210,0.34680,0.32560
2011-12-31,47.35600,3.40800,43.94800,2.84600,20.44200,0.02900,27.24200,16.70600,-0.43100,16.27500,5.81500,10.46000,10.46000,,10.46000,20.80400,16.70600,65.80900,70.05300,0.16000,0.16000,0.99560,0.05000,0.07170,92.80340,35.27750,35.27750,34.36730,22.08800,0.14510,2.28950,39.30990,4.99960,-44.28450,3.20490,4.74990,3.21520,0.1294,0.0942
2011-09-30,46.80400,3.33300,43.47100,2.60200,20.97100,-1.17400,28.47200,14.99900,-0.29600,14.70300,5.39200,9.31100,9.31100,,9.31100,18.83800,14.99900,66.44700,70.15700,0.14000,0.13000,0.98450,0.05420,0.07640,92.87880,32.04640,32.04640,31.41400,19.89360,0.13740,2.79240,32.22990,4.44880,-34.86360,2.73350,4.20760,3.15230,0.2489,0.2227
2011-06-30,44.88100,3.59200,41.28900,2.37300,21.61100,-1.32700,28.81400,12.47500,-0.31100,12.16400,4.42200,7.74200,7.74200,,7.74200,16.09300,12.47500,66.21000,70.51700,0.12000,0.11000,0.95400,0.05890,0.08190,91.99660,27.79570,27.79570,27.10280,17.25010,0.13380,2.68410,33.53070,3.72920,-24.19450,2.30860,3.50940,3.09830,0.3312,0.2921
2011-03-31,40.08900,2.69100,37.39800,2.49500,19.89100,-0.65500,26.63100,10.76700,-0.42000,10.34700,3.76000,6.58700,6.58700,,6.58700,14.47400,10.76700,65.34200,70.09200,0.10000,0.09000,0.85510,0.07990,0.10720,93.28740,26.85770,26.85770,25.81010,16.43090,0.12410,1.81600,49.56070,3.36300,-14.26870,2.03840,3.09440,2.94660,0.21110,0.20060
2010-12-31,37.88900,2.60000,35.28900,2.13200,17.82500,-0.52800,24.43800,10.85100,-0.54900,10.30200,4.55800,5.74400,5.74400,,5.74400,14.91800,10.85100,62.66500,67.92600,0.09000,0.09000,0.87910,0.17190,0.23000,93.13780,28.63890,28.63890,27.19000,15.16010,0.11890,1.90020,47.36470,3.22290,-8.88080,1.80220,2.66880,2.74720,0.18,0.1624
2010-09-30,34.36000,2.68500,31.67500,1.99300,16.70900,0.18100,22.89800,8.77700,-2.07300,6.70400,0.53800,6.16600,6.16600,,6.16600,13.29900,8.77700,62.79900,67.56100,0.10000,0.09000,0.94920,0.24370,0.34660,92.18570,25.54420,25.54420,19.51110,17.94530,0.10920,2.29730,39.17720,3.74940,-7.48570,1.95910,2.83560,2.61240,0.1852,0.1719
2010-06-30,29.92100,2.18100,27.74000,1.43200,15.96800,-0.02400,21.27900,6.46100,-0.81000,5.65100,1.96300,3.68800,3.68800,,3.68800,10.52500,6.46100,62.66500,67.63000,0.06000,0.05000,1.00870,0.15770,0.19380,92.71080,21.59350,21.59350,18.88640,12.32580,0.11670,2.27240,39.60530,2.40650,-9.24220,1.43850,2.02690,2.43530,0.1545,0.1408
2010-03-31,26.82700,2.10700,24.72000,1.19000,14.41700,0.32400,18.65100,6.06900,-1.00800,5.06100,1.76000,3.30100,3.30100,,3.30100,9.64500,6.06900,62.36600,66.90000,0.05000,0.05000,1.13890,0.18560,0.23470,92.14600,22.62270,22.62270,18.86530,12.30480,0.10710,2.43090,37.02390,2.21320,-8.92960,1.31820,1.80230,2.37740,0.17320,0.14970
2009-12-31,26.68000,1.93100,24.74900,0.98000,13.06900,,17.51800,7.23100,-1.21400,6.01700,2.16200,3.85500,3.85500,,3.85500,10.90800,7.23100,62.26600,66.07400,0.07000,0.05000,1.39020,0.24910,0.33840,92.76240,27.10270,27.10270,22.55250,14.44900,0.10160,2.17940,41.29610,2.59390,-9.05910,1.46830,1.94780,2.37780,0.0959,0.0824
