Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-06-30,307.89500,280.64400,27.25100,15.95300,15.95300,11.29800,-1.73600,9.56200,3.51200,6.05000,6.05000,6.05000,12.05500,11.29800,10.70200,10.95800,0.57000,0.55000,1.29260,0.44480,0.99440,8.85070,3.66940,3.66940,3.10560,1.96500,0.66860,,1.73280,51.93810,5.84240,-5.33620,1.31380,3.24350,9.65080,1.6044,1.5782
2016-03-31,310.68200,283.71100,26.97100,15.16000,15.16000,11.81100,-1.31200,10.49900,3.91000,6.58900,6.58900,6.58900,12.64400,11.81100,10.62800,10.85600,0.62000,0.61000,1.28700,0.47090,1.11690,8.68120,3.80160,3.80160,3.37930,2.12080,0.66690,,1.59900,56.28350,6.79280,-5.49400,1.41430,3.59380,9.09010,0.15520,0.16260
2015-12-31,311.19390,283.86600,27.32790,16.03700,16.03710,11.29080,-1.91500,9.37600,3.41600,5.96000,5.96000,5.96000,12.50380,11.29090,10.55100,10.82500,0.57000,0.55000,1.23050,0.50090,1.24970,8.78160,3.62820,3.62830,3.01290,1.91520,0.64240,,1.47790,60.89610,6.67340,-4.67010,1.23040,3.33100,8.41590,0.8182,0.8516
2015-09-30,299.06100,272.22400,26.83700,18.36600,18.36600,8.47100,-1.58300,6.88800,-7.14000,14.02800,14.02800,14.02800,9.40300,8.47100,10.56000,10.84800,1.33000,1.29000,1.13760,0.54760,1.41490,8.97380,2.83250,2.83250,2.30320,4.69070,0.59510,,1.39140,64.68510,16.88600,-10.48000,2.79140,7.63990,7.86700,0.9427,0.9397
2015-06-30,309.50900,282.56300,26.94600,16.10100,16.10100,10.84500,-1.43700,9.40800,3.38800,6.02000,6.02000,6.02000,11.86300,10.84500,10.54800,10.80400,0.57000,0.56000,1.10860,0.60650,1.82480,8.70610,3.50390,3.50390,3.03970,1.94500,0.60890,,1.45550,61.83620,8.93250,-4.02580,1.18440,3.51530,6.38260,2.5091,2.4843
2015-03-31,260.92000,236.38200,24.53800,15.18300,15.18300,9.35500,-1.59600,7.75900,2.79400,4.96500,4.96500,4.96500,10.46000,9.35500,10.49500,10.78000,0.47000,0.46000,1.13160,0.67200,2.32630,9.40440,3.58540,3.58540,2.97370,1.90290,0.51280,,1.22890,73.23660,8.40770,-3.14490,0.97590,2.75750,5.60910,-2.52590,-2.56900
2014-12-31,285.76510,258.91390,26.85120,18.70300,18.70310,8.14810,-1.55300,6.59500,3.26400,3.33100,3.33100,3.33100,8.10010,8.14810,10.47600,10.69200,0.32000,0.27000,1.28360,0.69450,2.48460,9.39620,2.85130,2.85130,2.30780,1.16560,0.57620,,1.40960,63.84920,6.18280,-2.04290,0.67160,1.88880,5.13830,0.1835,0.0659
2014-09-30,300.65100,273.71200,26.93900,23.64800,23.64800,3.29100,-0.02200,3.26900,1.15500,2.11400,2.11400,2.11400,4.10400,3.29100,10.47400,10.47400,0.20000,0.20000,1.27840,0.65480,2.05880,8.96020,1.09460,1.09460,1.08730,0.70310,0.61990,,1.59920,56.27790,3.10880,-1.37270,0.43590,1.07310,6.49230,3.5844,3.4846
2014-06-30,312.90200,283.95200,28.95000,19.52800,19.52800,9.42200,0.02700,9.44900,3.31700,6.13200,6.13200,6.13200,10.25600,9.42200,10.47400,10.47400,0.59000,0.59000,,,,9.25210,3.01120,3.01120,3.01980,1.95970,,,,,,,,,,5.6414,5.5939
2014-03-31,303.95100,267.93400,36.01700,18.46100,18.46100,17.55600,0.02200,17.57800,6.34300,11.23500,11.23500,11.23500,18.29100,17.55600,10.47400,10.47400,1.07000,1.07000,,,,11.84960,5.77590,5.77590,5.78320,3.69630,,,,,,,,,,-5.38960,-5.43800
2013-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
2013-09-30,349.00000,301.00000,48.00000,19.00000,19.00000,29.00000,,29.00000,10.00000,19.00000,19.00000,19.00000,29.00000,29.00000,,,,0.00000,,,,13.75360,8.30950,8.30950,8.30950,5.44410,,,,,,,,,,0,0
2012-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
