Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2013-06-30,15.23900,7.14800,8.09100,10.02600,,10.02600,-1.93500,-0.64700,-2.58200,-0.98700,-1.59500,-1.59500,,-1.53100,-1.24500,-1.93500,1.43400,1.43400,-1.07000,-1.07000,2.26650,1.11260,-12.02430,53.09400,-12.69770,-12.69770,-16.94340,-10.04660,0.22500,3.63210,1.69040,53.24170,31.22550,14.58490,-2.35470,-3.51520,-3.40500,-5.1132,-5.4389
2013-03-31,20.95400,7.67200,13.28200,10.93700,,10.93700,2.34500,-0.63200,1.71300,0.77800,0.93500,0.93500,,1.28900,3.05200,2.34500,1.43420,1.48280,0.80000,0.80000,1.99020,1.07770,-17.13870,63.38650,11.19120,11.19120,8.17510,6.15160,0.27010,2.91710,2.31540,38.87090,-25.71510,-9.88370,1.20510,1.99620,,5.15920,4.99260
2012-12-31,30.73000,12.13000,18.60000,13.70000,,13.70000,4.90000,-0.82900,4.12000,1.55000,2.57000,2.38200,0.00000,2.38200,5.11900,4.90000,1.43420,1.48070,1.60000,1.60000,1.86600,1.09020,-15.36580,60.62480,15.94530,15.94530,13.40710,7.75140,0.38130,5.47380,1.85220,48.59060,-57.05390,-23.81290,2.95600,5.14380,-2.78310,0.086,-0.0595
2012-09-30,14.23500,7.01600,7.21900,7.87800,,7.87800,-0.65900,-0.48300,-1.14200,-0.37500,-0.76700,-0.76700,,-0.54700,-0.45800,-0.65900,1.43420,1.43420,-0.40000,-0.40000,1.92670,1.14160,-10.09270,50.71300,-4.62940,-4.62940,-8.02250,-3.84260,0.19540,2.61790,2.31840,38.81980,12.22120,6.34410,-1.05270,-1.73450,,1.4429,1.3772
2012-06-30,19.65100,9.12900,10.52200,9.75800,,9.75800,0.76400,0.75700,1.52100,0.05700,1.46400,1.46400,,0.61900,0.97400,0.76400,1.43420,1.48000,0.40000,0.40000,2.02650,1.11710,-11.98540,53.54440,3.88780,3.88780,7.74010,3.15000,0.26200,3.91800,3.38230,26.60930,-26.73480,-12.95580,1.95230,3.13290,,4.3401,4.18
2012-03-31,19.32000,8.40000,10.92000,8.51000,,8.51000,2.41000,-0.62100,1.77000,0.70000,1.07000,1.06700,0.00000,1.06700,2.61000,2.41000,1.43410,1.47680,0.80000,0.80000,1.83140,1.15410,-9.61350,56.47000,12.47410,12.47410,9.16150,5.52280,0.24510,,2.36470,38.05900,-15.29530,-8.33590,1.35390,2.35870,,5.07850,5.03790
2011-12-31,11.36700,4.96000,6.40700,6.10000,,6.10000,0.30700,-0.81000,-0.45000,0.20000,-0.65000,-0.65400,0.00000,-0.65400,1.27700,0.30700,1.43410,1.43410,-0.40000,-0.40000,1.80430,1.18770,-8.17450,56.56730,2.70080,2.70080,-3.95880,-5.75350,0.14890,,1.51970,59.22410,7.92150,4.64490,-0.85660,-1.48770,-5.32220,2.4325,2.407
2011-09-30,28.51200,8.58000,19.93200,10.89000,,10.89000,9.04200,-2.97000,6.04000,2.01000,4.03000,4.03100,0.00000,4.03100,9.23200,9.04200,1.43250,1.47600,2.80000,2.80000,1.57960,1.16610,-10.26880,69.86530,31.71300,31.71300,21.18410,14.13790,0.31090,,2.30120,39.10990,-54.20930,-30.39970,4.39490,9.00180,,-1.6484,-1.6426
2011-06-30,9.83100,3.88000,5.95100,8.16000,,8.16000,-2.20900,-0.88000,-3.10000,-0.85000,-2.25000,-2.24900,0.00000,-2.24900,-1.99900,-2.20900,1.42300,1.42300,-1.60000,-1.60000,1.67590,1.28240,-5.91040,60.42110,-22.46970,-22.46970,-31.53290,-22.87660,0.14440,,2.01450,44.67500,19.58040,12.98500,-3.30400,-5.52720,,-2.0938,-2.2342
2011-03-31,13.81600,5.72000,8.09600,7.79000,,7.79000,0.30600,-0.12000,0.17000,0.70000,-0.53000,-0.52600,0.00000,-0.52600,0.52600,0.30600,1.41810,1.41810,-0.40000,-0.40000,1.85450,1.21340,-7.14920,58.55530,2.21480,2.21480,1.23050,-3.80720,0.19440,,6.87360,13.09350,5.73230,3.49730,-0.74000,-1.22300,,-0.11280,-0.13400
2010-12-31,11.00500,5.07000,5.93500,6.81000,,6.81000,-0.87500,-1.23000,-2.05000,-0.15000,-1.90000,-1.90600,0.00000,-1.90600,-0.66500,-0.87500,1.41190,1.41190,-1.40000,-1.40000,1.81220,1.20550,-7.41010,54.15720,-7.95090,-7.95090,-18.62790,-17.31940,0.15230,,3.57310,25.18860,21.39410,12.87840,-2.63730,-4.40180,,0.4383,0.3775
2010-09-30,13.85800,3.41000,10.44800,8.01000,,8.01000,2.43800,-1.08000,1.33000,0.88000,0.45000,0.45500,0.00000,0.45500,2.64800,2.43800,1.40800,1.45640,0.40000,0.40000,1.87810,1.17990,-8.24750,75.33550,17.59270,17.59270,9.59730,3.28330,0.19740,,6.10480,14.74240,-5.71390,-3.27100,0.64820,1.02820,,5.3054,5.2127
2010-06-30,5.21500,6.87000,-1.65500,8.08000,,8.08000,-9.73500,-1.11000,-10.87000,-4.26000,-6.61000,-6.60700,0.00000,-6.60700,-9.54500,-9.73500,1.40000,1.40000,-4.80000,-4.80000,1.69520,1.20590,-7.31600,-31.83130,-186.67300,-186.67300,-208.43720,-126.69220,0.06520,,2.73040,32.96260,71.68280,43.43850,-8.25880,-14.77090,,-5.6916,-5.877
2010-03-31,12.06700,6.74000,5.32700,8.51000,,8.51000,-3.18300,-1.35000,-4.55000,-1.57000,-2.98000,-2.98000,0.00000,-2.98000,-3.00300,-3.18300,1.39500,1.39500,-2.20000,-2.20000,2.73270,1.07170,-18.66760,44.00430,-26.37770,-26.37770,-37.70610,-24.69550,0.16570,,5.09160,17.67630,82.61710,30.91290,-4.09170,-5.91970,,-4.35840,-4.43730
2009-12-31,11.45700,,11.45700,,,,11.45700,,11.45700,,11.45700,-4.46700,-0.07500,-4.54200,11.62700,11.45700,1.38540,1.38510,-3.20000,-3.20000,1.89970,1.02300,-67.39000,100.00000,100.00000,100.00000,100.00000,-39.64390,0.14560,,4.37290,20.58130,452.58360,63.18250,-5.67810,-10.25720,,-8.4852,-8.5149
2009-09-30,15.03600,8.64000,6.39600,7.24000,,7.24000,-0.84400,-2.64000,-3.51000,-7.61000,4.10000,4.10000,-0.06700,4.03300,-0.84400,-0.84400,1.10450,1.17370,3.60000,3.40000,1.57020,0.96290,39.83720,42.49800,-5.61320,-5.61320,-23.34400,26.82230,0.13740,,5.89650,15.26340,237.95700,-93.60720,3.74600,8.85340,,21.3002,20.7378
2009-06-30,15.04000,,15.04000,,,,15.04000,,15.04000,,15.04000,-0.88200,0.00000,-0.88200,15.04000,15.04000,1.49530,1.49530,-0.60000,-0.60000,,,,100.00000,100.00000,100.00000,100.00000,-5.86440,,,,,,,,,,0,0
2009-03-31,41.88800,,41.88800,,,,41.88800,,41.88800,,41.88800,8.96000,0.00000,8.96000,41.88800,41.88800,0.52800,0.52800,17.00000,17.00000,,,,100.00000,100.00000,100.00000,100.00000,21.39040,,,,,,,,,,0.00000,
